latitude,longitude
-34.6234898965915,-58.4488590281474
-34.6234101097669,-58.448681921158
-34.6232758394604,-58.3973383456719
-34.6232750395688,-58.4021541920652
-34.6232315157021,-58.3969905337852
-34.6230746589813,-58.3973860117587
-34.6230276879668,-58.3970349162311
-34.6230169883364,-58.4024779976517
-34.6230165440874,-58.402221752427
-34.6229787563849,-58.3915903719522
-34.6229631135916,-58.3913491808363
-34.6226516085745,-58.3917454880174
-34.6224847670026,-58.39138162646
-34.6224734665026,-58.4021879223851
-34.6224470439,-58.379847475414
-34.622264228627,-58.3853503044593
-34.6222424138766,-58.3848887025854
-34.621814531616,-58.379926195424
-34.6206412065178,-58.441251011513
-34.6205964509408,-58.4412781764527
-34.6205822252942,-58.4410594633999
-34.6203346387924,-58.4412926924192
-34.6182944879009,-58.4361633943507
-34.6182639095436,-58.3815928448773
-34.6181046096987,-58.435765551866
-34.6180971411152,-58.4362519178479
-34.618071043114,-58.4356878693673
-34.6179693710116,-58.3816086370507
-34.6179271671427,-58.4358863351696
-34.6178936805195,-58.4358000871362
-34.6178579359899,-58.3800592172609
-34.6155646609541,-58.4047663532823
-34.615519414736,-58.4045278034955
-34.615327911877,-58.4294686582769
-34.6152525927064,-58.4048567125294
-34.6151357374411,-58.4295579822952
-34.6149819154542,-58.4049356586286
-34.6149813858401,-58.4292099563761
-34.6149425821075,-58.404694449722
-34.6129863120864,-58.3781248256853
-34.6129713453355,-58.3778057448191
-34.6127902121719,-58.3781575481961
-34.6127771037083,-58.3778251970928
-34.6125421696277,-58.3805750923513
-34.6123529715806,-58.3805809640886
-34.6119314570416,-58.4218274047385
-34.6117923750206,-58.4214965270379
-34.6117456511489,-58.4218921493276
-34.6117065206801,-58.4213086854366
-34.6116083691185,-58.4215760259624
-34.6108914175121,-58.4153199886375
-34.6108602053347,-58.4149002042816
-34.6106986429253,-58.4153385245978
-34.6106901574639,-58.4150939762167
-34.6106737844135,-58.4149137586138
-34.6106734712857,-58.3750247046932
-34.6102897504497,-58.4070028175776
-34.6102746554203,-58.4066197226993
-34.6101506854454,-58.374459445909
-34.610042080708,-58.406876743847
-34.6100278289863,-58.4065807768747
-34.6099411157351,-58.4010391387775
-34.6099124093555,-58.4007281407058
-34.6098236150873,-58.3747482059695
-34.609570070278,-58.3986691942837
-34.6095456097624,-58.3870194552684
-34.6095432874133,-58.3982823428569
-34.6095085863597,-58.3865661989038
-34.6094736710576,-58.3737281220748
-34.6093567533449,-58.4062256246894
-34.609349615745,-58.3930104502719
-34.6093309032097,-58.3926626257408
-34.6093283204226,-58.3870377273487
-34.6093084705352,-58.3865805439127
-34.6092960142205,-58.3923444255493
-34.6092831132795,-58.4058671917327
-34.6092667239896,-58.380572300334
-34.6092552306389,-58.3827948596929
-34.6092347600339,-58.3824171004639
-34.6091738071059,-58.373422273533
-34.6091556158485,-58.392902730996
-34.6091377398446,-58.392680374036
-34.6091130259712,-58.4058766919082
-34.6091050490805,-58.3923680169221
-34.6090836576999,-58.3803244465217
-34.6090666304754,-58.4061803963753
-34.6090509666734,-58.406187718476
-34.6090407229121,-58.3827488721215
-34.6090178588667,-58.3736240226788
-34.6090155279408,-58.3824349786336
-34.6089709565305,-58.3786809630826
-34.6089484916123,-58.3783081751575
-34.6089465827955,-58.4058954169208
-34.6089412404332,-58.3699970382755
-34.6088656288094,-58.3803456891333
-34.6087869119957,-58.3718161353078
-34.6087653388349,-58.3787193169857
-34.6087394508317,-58.3805972482267
-34.6087358606999,-58.3783188050851
-34.6087046437217,-58.3747681395701
-34.6087035224052,-58.3706685126922
-34.6086982598984,-58.370531484685
-34.6086805334336,-58.3743564522875
-34.6086377492182,-58.3738605085306
-34.6085386193,-58.4058373186737
-34.6084840666294,-58.3748260653899
-34.6084684968012,-58.374368353986
-34.608448059814,-58.4062820538246
-34.6084332539155,-58.3739915502154
-34.6078500426302,-58.3740350257512
-34.60768397442,-58.3743376615402
-34.6076703362539,-58.3738468837687
-34.6075096307944,-58.3749126398831
-34.6075003127853,-58.374675989709
-34.6072477695942,-58.3751981900359
-34.6071750850224,-58.3747753842572
-34.6071096809324,-58.3749152861308
-34.604956522427,-58.3795301997052
-34.6049446975673,-58.3790482902087
-34.6047445485586,-58.3996944667464
-34.6047427980509,-58.4056377847633
