latitude,longitude
-34.7518509,-58.2341863
-34.7506533,-58.58425
-34.7436106,-58.3954246
-34.7434594,-58.465016
-34.7332318,-58.4748755
-34.7270922,-58.393661
-34.7246461,-58.2606591
-34.7243253,-58.7929542
-34.7223687,-58.5307279
-34.7124465,-58.5238732
-34.710762,-58.537256
-34.7106549,-58.5141386
-34.7105416,-58.5063521
-34.7100582,-58.5059269
-34.7099772,-58.5059186
-34.7092611,-58.280569
-34.708965,-58.5519393
-34.7086815,-58.7307061
-34.7074543,-58.390637
-34.706078,-58.7794327
-34.7044639,-58.5879899
-34.7033242,-58.2961718
-34.7025293,-58.5115373
-34.6996965,-58.6261936
-34.6975894,-58.3111938
-34.6971714,-58.6462658
-34.6930707,-58.5280209
-34.6921774,-58.6861877
-34.6915355,-58.3253499
-34.6901777,-58.5076299
-34.6857287,-58.3826371
-34.6840978,-58.4925366
-34.6801742,-58.7602409
-34.6787475,-58.3449626
-34.67713,-58.4769699
-34.6741934,-58.555356
-34.6661376,-58.4502223
-34.6654259,-58.6979972
-34.6644693,-58.727685
-34.6622014,-58.4408973
-34.6613896,-58.3768325
-34.6596506,-58.6663871
-34.6582665,-58.7619414
-34.6580457,-58.5730377
-34.6574937,-59.4336661
-34.6536422,-58.3788878
-34.6521562,-58.6425261
-34.6504439,-58.7895979
-34.6482227,-58.6198135
-34.6481153,-58.4199555
-34.6478196,-59.352839
-34.6445334,-58.5918534
-34.6404544,-58.5643758
-34.6399227,-58.5411225
-34.6397171,-58.8284581
-34.6388728,-58.5263409
-34.6362494,-58.5021311
-34.6323755,-58.4808913
-34.6322048,-58.8553185
-34.6301709,-58.3805834
-34.6279272,-59.2553985
-34.6278504,-58.4661766
-34.6227343,-58.893542
-34.6192442,-58.4436522
-34.616072,-58.9220842
-34.6088711,-58.952925
-34.6086496,-58.4088675
-34.604926,-58.5956555
-34.6045861,-58.5644918
-34.6036745,-58.5407521
-34.6031533,-58.5274629
-34.6026515,-58.5124313
-34.6013699,-58.4935315
-34.6006273,-59.1734876
-34.5984003,-58.997844
-34.5911517,-58.6322349
-34.5899757,-58.376129
-34.5881302,-58.3756885
-34.5846051,-59.0567847
-34.5810718,-58.5170793
-34.5804962,-58.501898
-34.5796614,-58.4274154
-34.5784645,-58.6565796
-34.5776869,-59.1050924
-34.5774242,-59.0874075
-34.575705,-58.435404
-34.574712,-58.4878391
-34.5734195,-58.5319579
-34.5729746,-58.448253
-34.5717485,-58.4249824
-34.5684173,-58.4789912
-34.5680506,-58.4618081
-34.5652607,-58.4753485
-34.5638352,-58.6845919
-34.5635642,-58.5406609
-34.5588016,-58.4489445
-34.5573725,-58.5479328
-34.5540735,-58.4870632
-34.5513662,-58.7033147
-34.5501584,-58.5570784
-34.5482911,-58.4628516
-34.5431069,-58.7150571
-34.5425501,-58.494657
-34.542232,-58.566917
-34.5365204,-58.4680326
-34.5347067,-58.5759809
-34.5304745,-58.4944563
-34.5247233,-58.4728065
-34.5230887,-58.49413
-34.5193436,-58.7494301
-34.5154718,-58.4896092
-34.5130886,-58.487579
-34.5081513,-58.4845536
-34.5077139,-58.4806636
-34.5039897,-58.7976033
-34.5027276,-58.4821262
-34.4975978,-58.4884466
-34.4909537,-58.8384456
-34.4891115,-58.4812172
-34.4885346,-58.4965804
-34.4878244,-59.075658
-34.4800686,-58.5038385
-34.4796651,-58.6029298
-34.4786824,-58.8768343
-34.4722137,-58.4934212
-34.4722074,-58.5133831
-34.4720989,-58.5744514
-34.4687433,-58.9079062
-34.4654466,-58.5081309
-34.4627922,-58.6460044
-34.4608043,-58.5265437
-34.4561533,-58.5411284
-34.4558335,-58.6201168
-34.4522459,-59.0067549
-34.4506827,-58.5507001
-34.4506585,-58.5236988
-34.4468958,-58.6773897
-34.4445522,-58.5390515
-34.4443381,-58.5587407
-34.4375367,-58.553991
-34.4375361,-58.5674401
-34.4299116,-58.5629211
-34.423567,-58.5817289
-34.421623,-58.7365407
-34.419003,-58.5761953
-34.4091705,-58.6847612
-34.4067502,-58.7723202
-34.3830219,-58.7362697
-34.3828607,-58.8296505
-34.3494239,-58.7953571
-34.2778567,-58.8903315
-34.2222066,-58.8965515
-34.1602209,-58.977169
-34.1565823,-58.9610031
-34.0979051,-59.0378286
