latitude,longitude
-34.681645,-58.469018
-34.681495,-58.469921
-34.681381,-58.467945
-34.68112,-58.451214
-34.681101,-58.468414
-34.680905,-58.473623
-34.6809,-58.45148
-34.680786,-58.484562
-34.680716,-58.467691
-34.680712,-58.48431
-34.680603,-58.479267
-34.680588,-58.466188
-34.680578,-58.468942
-34.680522,-58.465824
-34.68042,-58.475776
-34.680294,-58.493131
-34.679918,-58.48338
-34.67978,-58.491072
-34.679739,-58.485608
-34.679633,-58.467969
-34.679523,-58.472612
-34.679377,-58.485598
-34.679349,-58.489092
-34.679343,-58.477477
-34.679336,-58.47065
-34.679018,-58.465353
-34.678894,-58.477304
-34.678793,-58.465848
-34.678784,-58.471218
-34.678674,-58.476505
-34.678631,-58.486771
-34.678618,-58.46923
-34.678474,-58.481689
-34.678433,-58.487301
-34.678387,-58.495735
-34.678374,-58.491017
-34.678216,-58.487356
-34.67821,-58.487356
-34.678107,-58.485932
-34.677966,-58.487625
-34.677783,-58.490959
-34.67776,-58.491817
-34.677724,-58.472715
-34.677652,-58.474847
-34.67762,-58.475842
-34.677555,-58.475768
-34.677505,-58.475367
-34.677439,-58.475292
-34.677201,-58.477475
-34.677193,-58.448824
-34.677188,-58.448561
-34.677104,-58.482939
-34.676995,-58.471337
-34.676991,-58.488695
-34.676982,-58.492775
-34.676905,-58.489754
-34.676868,-58.479807
-34.676759,-58.489763
-34.676748,-58.488969
-34.676736,-58.484623
-34.676595,-58.493161
-34.676553,-58.476658
-34.676529,-58.474127
-34.676355,-58.498415
-34.676351,-58.489677
-34.676309,-58.489643
-34.676147,-58.476806
-34.676022,-58.476967
-34.675987,-58.477013
-34.675953,-58.493716
-34.675937,-58.493575
-34.675921,-58.473662
-34.675764,-58.483674
-34.675746,-58.473471
-34.675644,-58.47308
-34.675606,-58.477725
-34.675599,-58.490204
-34.675478,-58.490551
-34.675273,-58.490722
-34.675205,-58.477412
-34.67514,-58.48242
-34.675084,-58.477329
-34.675026,-58.484768
-34.674848,-58.482298
-34.674703,-58.478311
-34.674682,-58.478309
-34.674547,-58.460336
-34.674467,-58.460886
-34.674397,-58.491411
-34.674353,-58.501063
-34.674322,-58.501105
-34.674285,-58.492536
-34.674241,-58.47415
-34.674221,-58.479641
-34.674221,-58.479641
-34.674115,-58.491973
-34.673917,-58.475309
-34.673894,-58.49215
-34.673887,-58.500764
-34.673877,-58.501624
-34.673819,-58.475435
-34.673801,-58.497654
-34.673748,-58.501036
-34.673687,-58.500947
-34.673685,-58.500911
-34.673556,-58.480555
-34.67349,-58.475566
-34.673448,-58.496457
-34.673312,-58.480637
-34.673307,-58.492895
-34.673232,-58.493834
-34.673219,-58.492576
-34.673214,-58.492576
-34.673204,-58.500019
-34.673169,-58.501397
-34.672931,-58.484941
-34.67279,-58.445861
-34.67263,-58.445961
-34.6726,-58.479272
-34.67235,-58.499058
-34.672308,-58.476051
-34.672265,-58.494428
-34.672248,-58.468647
-34.672218,-58.498331
-34.672216,-58.493741
-34.672098,-58.493667
-34.672068,-58.477147
-34.672036,-58.467462
-34.671986,-58.4678
-34.671918,-58.469657
-34.671814,-58.49793
-34.671794,-58.484403
-34.671722,-58.482737
-34.671706,-58.47366
-34.671706,-58.47366
-34.671641,-58.469113
-34.671613,-58.494131
-34.671548,-58.471291
-34.671474,-58.478314
-34.671286,-58.497646
-34.671263,-58.497312
-34.671263,-58.494572
-34.671148,-58.456694
-34.671095,-58.476828
-34.67108,-58.457042
-34.671032,-58.494698
-34.670977,-58.481506
-34.670902,-58.499623
-34.670869,-58.479247
-34.670814,-58.483485
-34.670793,-58.495208
-34.670591,-58.501361
-34.670525,-58.495435
-34.670515,-58.496061
-34.670489,-58.495204
-34.670365,-58.495889
-34.670352,-58.500011
-34.670312,-58.482721
-34.670262,-58.495423
-34.670218,-58.472078
-34.67018,-58.484759
-34.670078,-58.495891
-34.670056,-58.471905
-34.670003,-58.475109
-34.669931,-58.469852
-34.669927,-58.475076
-34.669902,-58.471407
-34.669726,-58.501122
-34.669701,-58.47627
-34.669658,-58.478392
-34.669516,-58.48352
-34.66947,-58.48106
-34.669385,-58.464156
-34.669104,-58.500217
-34.669079,-58.496021
-34.669011,-58.507787
-34.668992,-58.442823
-34.668985,-58.500771
-34.66894,-58.443293
-34.668845,-58.507882
-34.66884,-58.503641
-34.668638,-58.494163
-34.668484,-58.474437
-34.668405,-58.49419
-34.668283,-58.480364
-34.66817,-58.480881
-34.668051,-58.50355
-34.668051,-58.487515
-34.668039,-58.47381
-34.668025,-58.480485
-34.667936,-58.474194
-34.667798,-58.49397
-34.667791,-58.493508
-34.667732,-58.473655
-34.667729,-58.493454
-34.667709,-58.475627
-34.667662,-58.506461
-34.667474,-58.473013
-34.667449,-58.473054
-34.667443,-58.473315
-34.667397,-58.473926
-34.667394,-58.501783
-34.667364,-58.486254
-34.667362,-58.50542
-34.667358,-58.479445
-34.667239,-58.483895
-34.667227,-58.475122
-34.667102,-58.502095
-34.66698,-58.478804
-34.666809,-58.472576
-34.666765,-58.495007
-34.66674,-58.440599
-34.666718,-58.467626
-34.666688,-58.505001
-34.66666,-58.440749
-34.666403,-58.473467
-34.666372,-58.47228
-34.666332,-58.504864
-34.666321,-58.472225
-34.666117,-58.471755
-34.666104,-58.490016
-34.66603,-58.477858
-34.665986,-58.4745
-34.665918,-58.49117
-34.665881,-58.491049
-34.665755,-58.477334
-34.665547,-58.503634
-34.665513,-58.483719
